Index,Date,News
51,3/23/2018,"['Dropbox Shares Leap in I.P.O., and Silicon Valley Smiles', 'For the U.S. and China, a Technology Cold War That’s Freezing Over', 'Houston Speculators Make a Fast Buck From Storm’s Misery', 'At Hamburger Central, Antibiotics for Cattle That Aren’t Sick', 'Zuckerberg Takes Steps to Calm Facebook Employees', '‘Something About Parkland Has Been Different’: Survivors From 20 Years of Mass Shootings Speak', 'John Bolton, Fresh From Fox News, Joins the Trump Cast', 'Giving Videos a Window of Their Own', 'Uber’s Self-Driving Cars Were Struggling Before Arizona Crash', 'Were the Austin Bombings Acts of Terrorism? Why Law Enforcement Says No', 'California Today: Bullet Train Is Not Top Priority, a Candidate for Governor Says', 'Trump Just Pushed the World Trade Organization Toward Irrelevance', 'Wall St. Closes Lower, as a U.S.-China Trade War Looms', 'Ex-Playboy Model Karen McDougal Details 10-Month Affair With Donald Trump', 'Trump Administration Retreats on Tip-Sharing Plan in Compromise', 'Why China’s Response to Trump’s Tariffs Is So Muted', 'Budget Deal in Congress Includes Help for Affordable Housing', 'Dropbox’s First-Day Pop Should Give Investors Pause: DealBook Briefing', 'In Austin, a Bomber’s Rampage Exposes Racial Fault Lines Long Buried', 'Vote Fraud Crusader Kris Kobach Takes His Case to Court, and to Kansas Voters', 'Trading Cards: A Hobby That Became a Multimillion-Dollar Investment', 'The Dramatic Last Hours as Agents Stalked the Austin Bomber', '3 Examples of John Bolton’s Longtime Hard-Line Views', 'Tariff Battle: Where the U.S. and Chinese Moves May Lead', 'Goldman Sachs Takes Its Homegrown Talk Show to a Wider Audience', 'Girl Shot at Maryland School Dies After Being Taken Off Life Support', 'Elon Musk Joins #DeleteFacebook With a Barrage of Tweets', 'March for Our Lives: Maps of the More Than 800 Protests Around the World']"
52,3/24/2018,"['Demonstrators Who Brought Guns and an Opposing Message: ‘Shoot Back’', 'Friends and Family Wonder: Why Did the Austin Bomber Choose Us?', 'For Parkland Students, a Surreal Journey From ‘Normal’ to a Worldwide March', 'Timeline: Facebook and Google Under Regulators’ Glare', 'A Dying Southern Town Needed a Miracle. Marijuana Came Calling.', 'March for Our Lives Highlights: Students Protesting Guns Say ‘Enough Is Enough’', 'How Trade Wars Begin', 'Strong Reactions to U.S. Trade Moves', 'How Calls for Privacy May Upend Business for Facebook and Google', 'Trump’s Tariffs Keep Allies, Markets and Industry Guessing', 'Photos From the ‘March for Our Lives’ Protests Around the World']"
53,3/25/2018,"['A Top Candidate for New York Fed’s Leader: San Francisco’s', 'Gun Marches Keep Republicans on Defense in Midterm Races', 'When the Elderly Call for Help, a ‘Chain’ Immigrant Often Answers', 'Apple Goes to Hollywood. Will Its Story Have a Happy Ending?', 'As Amazon Steps Up Tax Collections, Some Cities Are Left Out', 'Selling Products With a Swelling Score', 'Stormy Daniels Tells ‘60 Minutes’ That Fear of Trump Kept Her Silent', 'To Invade Homes, Tech Is Trying to Get in Your Kitchen', 'China Splits Top Jobs at Central Bank, Adding Another Reformer', 'In Gun Control Marches, Students Led but Adults Provided Key Resources']"
54,3/26/2018,"['Apple Unveils Education Product and S.U.V.s Take the Stage at New York Auto Show', 'Water Slide That Decapitated Boy Violated Basic Design Standards, Indictment Says', 'The Trade Issue That Most Divides U.S. and China Isn’t Tariffs', 'New York Fed Weighs a Wall Street Overseer, and Left Spies an Opening', 'After Stormy Daniels, Republicans Face a Referendum on Trump’s Conduct', 'The Post-World War II Order Is Under Assault From the Powers That Built It', 'Louis Vuitton Names Virgil Abloh as Its New Men’s Wear Designer', 'Uber to Sell Its Southeast Asia Business to Grab, a Regional Rival', 'When Professionals Rise Up, More Than Money Is at Stake', 'Trump Gets First Major Trade Deal as South Korea Looks to Avoid Tariffs', 'Stormy Daniels Attracts 22 Million Viewers to ‘60 Minutes’', 'Copy Here, Paste There', 'Grocery Wars Turn Small Chains Into Battlefield Casualties', 'Demands Grow for Facebook to Explain Its Privacy Policies', 'Dow and S.&P. 500 Have Their Best Day in Nearly Three Years: DealBook Briefing', 'They Push. They Protest. And Many Activists, Privately, Suffer as a Result.', 'Lights, Camera, Artificial Action: Start-Up Is Taking A.I. to the Movies', 'F.C.C. Joins Push to Limit China’s Telecom Reach', 'Hotels Hope That Tax Law Will Revive Corporate Meetings', 'California Today: They Marched for Gun Control. Will Anything Change?', 'To Reclaim the House, Democrats Need to Flip 24 G.O.P. Seats. 25 Are in Clinton Territory.']"
55,3/27/2018,"['H&M, a Fashion Giant, Has a Problem: $4.3 Billion in Unsold Clothes', 'At Least Twelve States to Sue Trump Administration Over Census Citizenship Question', 'Tanzina Vega Is New Host of WNYC’s ‘The Takeaway’', 'Uber Ordered to Take Its Self-Driving Cars Off Arizona Roads', 'Apple Unveils New iPad to Catch Google in the Classroom', 'Facebook’s Zuckerberg Said to Agree to Testify Before Congress Over Data Privacy', 'California Today: A Space for Students Who Need Something to Eat', 'Nickelodeon Parts Ways With Its Biggest Hitmaker', 'Citigroup Acted. Now, Two New Ideas on How Banks Can Limit Gun Sales.', 'Video Shows Unarmed Texas Man With Pants Down Before Fatal Police Shooting', 'Breitbart, Facing Headwinds, Tries a New Tack: Live Events', '‘I Know I Will Be Criticized’: The Latino Evangelical Who Advises Trump on Immigration', 'Killing the (Facebook) Messenger', 'Austin Bombing Suspect’s Housemate Called a Person of Interest', 'A Cyberattack Hobbles Atlanta, and Security Experts Shudder', 'Maryland School Gunman Confronted by Officer Shot Himself, Authorities Say', 'California Attorney General to Investigate Stephon Clark’s Killing', 'Baton Rouge Officers Will Not Be Charged in Alton Sterling’s Killing', 'Canceled Deals and Pulped Books, as the Publishing Industry Confronts Sexual Harassment', 'Technology Companies Drag Stock Markets Down Again', 'Can Deutsche Bank Be Fixed?: DealBook Briefing', 'Scrutiny of Michigan State’s Role in Nassar Case Brings New Sex Charges', 'Behind the Rise of China’s HNA: The Chairman’s Brother', 'Waymo, a Google Spinoff, Ramps Up Its Driverless-Car Effort', 'Trump’s China Policy Has a Flaw: It Makes China the Winner', 'In the Catskills, New Hope for the Return of Tourism', 'Larry Nassar’s Former Boss at Michigan State Faces Charges', 'Recent Commercial Real Estate Transactions', 'If Census Asks About Citizenship, Some Already Have an Answer: No Comment', 'Uber Won’t Renew Permit for Self-Driving Cars in California', 'North Korea Is Firing Up a Reactor. That Could Upset Trump’s Talks With Kim.']"
56,3/28/2018,"['Executive Who Sold Self-Driving Truck Start-Up to Uber Departs', 'Motion Picture Academy Finds No Merit to Accusations Against Its President', 'A Find at Gap: Steady Hours Can Help Workers, and Profits', 'Soul-Searching From Ad Group That Lauded Cambridge Analytica', 'Can Social Media Be Saved?', 'Want to Purge Your Social Media Timelines? Can You Spare a Few Hours?', 'California Today: Orange County Backs Trump on Immigration', 'Morgan Stanley Knew of a Star’s Alleged Abuse. He Still Works There.', 'Starting Fresh With Firefox', 'White House Looks to Use Emergency Law to Halt Chinese Investment', 'Facebook Introduces Central Page for Privacy and Security Settings', 'Covering Disasters With 2 Phones, in Case One Falls in the Mud', 'Equifax Picks Private Equity Executive as New C.E.O.', 'Trade Deals Take Years. Trump Wants to Remake Them in Months.', 'Stella McCartney Will Take Full Control of Her Fashion Brand', 'It’s the No. 1 Power Source, but Natural Gas Faces Headwinds', 'BMW and Daimler, Once Rivals, Join Forces to Fend Off Silicon Valley', 'More Than Just a Sell-Off in Tech?: DealBook Briefing', 'Hundreds at Sacramento City Hall Protest Police Killing of Stephon Clark', 'Recovered Body Is Likely That of Missing Actress, Los Angeles Police Say', 'Turner Chief Pushes Back on Core Justice Dept. Argument', '$9.5 Billion Purchase by Concho Is Latest Sign of West Texas Oil Boom', '‘Roseanne’ Revival Wins Huge TV Ratings', 'China Says Anbang’s Founder Defrauded Investors of $10 Billion']"
57,3/29/2018,"['California Today: Sacramento Mayor Questions Police Training', 'New Trial Upheld for Adnan Syed of ‘Serial’', 'Hard Choice for Cities Under Cyberattack: Whether to Pay Ransom', 'His Clients Weren’t Complaining. But the Judge Said This Lawyer Worked Too Hard.', '20 Shots in Sacramento: Stephon Clark Killing Reignites a Furor', 'Parkland Activist Got Some College Rejections. He’ll Major in ‘Changing the World’', 'Facebook Falls From Grace, and Investors’ Stock Holdings Tumble Too', 'Brazilian Auction Draws Oil Companies Back to Offshore Drilling', 'Recording Skype Video Calls', 'To Avoid More Racist Hoodies, Retailers Seek Diversity', 'Tesla Looked Like the Future. Now Some Ask if It Has One.', 'Boeing Possibly Hit by ‘WannaCry’ Malware Attack', 'Microsoft Reorganizes to Fuel Cloud and A.I. Businesses', 'Why Reining in Amazon Could be Difficult: DealBook Briefing', 'Devonte Hart, Boy in Famous Photo, Feared Dead With Family in S.U.V. Plunge', 'In Arizona Race, Conservatives View Stormy Daniels as a ‘Little Hard to Believe’', 'Anbang Was Seized by China. Now, It Has a Deal for You.', 'Virtual Reality Is Carmakers’ Latest Selling Tool, at Shows and in Showrooms']"
58,3/30/2018,"['‘It’s Factory North America,’ but Trump Could Hobble It', 'Silicon Valley Warms to Trump After a Chilly Start', 'Coffee Drinkers Need Cancer Warning, Judge Rules, Giving Sellers the Jitters', 'Russian Accused of Hacking U.S. Technology Firms Is Extradited', 'A Student Loan Fix for a Teacher, and Many Other Public Servants', '‘Roseanne’ Reboot Sprang From ABC’s Heartland Strategy After Trump’s Victory', 'Census Bureau’s Own Expert Panel Rebukes Decision to Add Citizenship Question', 'Walmart in Talks to Strengthen Ties to Health Insurer Humana', 'Facebook Employees in an Uproar Over Executive’s Leaked Memo', 'Student Protesters Take Over Howard University Administration Building', 'California Today: In Oakland, a Clash of Artists vs. Big Cannabis', 'Stephon Clark Was Shot 8 Times Primarily in His Back, Family-Ordered Autopsy Finds', 'Caught Up in a Killing Spree, and Facing Charges', 'Keeping Personal Appointments Private on Google Calendar', 'Brutal Choice in Houston: Sell Home at a Loss or Face New Floods', 'Baton Rouge Officer Is Fired in Alton Sterling Case as Police Release New Videos', 'With New Tax Law, I.R.S. Urges Taxpayers to Review Withholdings', 'Want to Keep Your Wine Collection Safe? Store It in a Bomb Shelter', 'Noor Salman Acquitted in Pulse Nightclub Shooting', 'How Will the Midterm Elections Play Out? Watch Pennsylvania', 'Anatomy of a Los Angeles Police Shooting: A Black Teenager, a Missing Gun, Protests, Grief', 'The Self-Driving Car Industry’s Biggest Turning Point Yet', '‘Roseanne’ Is Here to Stay: ABC Renews Highly Rated Reboot', 'Are You a U.S. Citizen? How a 2020 Census Question Could Affect States', 'Do You Know Anyone in These Civil Rights Photos?']"
59,3/31/2018,"['Fatal Tesla Crash Raises New Questions About Autopilot System', 'Samuel Belzberg, Corporate Raider in a Family Dynasty, Dies at 89', 'When Bail Feels Less Like Freedom, More Like Extortion', 'Judge Temporarily Stops U.S. From Blocking Undocumented Teenagers’ Abortions', 'Hey, Alexa, What Can You Hear? And What Will You Do With It?', 'Tesla Says Crashed Vehicle Had Been on Autopilot Before Fatal Accident', 'For the Compton Cowboys, Horseback Riding Is a Legacy, and Protection ', 'Stacey Dash, Actress in ‘Clueless,’ Drops Out of Congressional Race', 'Vermont Legislature Passes Sweeping Gun Restrictions']"
60,4/1/2018,"['Card Data Stolen From 5 Million Saks and Lord & Taylor Customers', 'Retailers Race Against Amazon to Automate Stores', 'They Tried to Boycott Facebook, Apple and Google. They Failed.', 'Woman Injured by Sacramento Sheriff’s Vehicle at Stephon Clark Protest', 'White House to List Chinese Products Facing Tariffs and the March Jobs Report', 'Tech Thinks It Has a Fix for the Problems It Created: Blockchain', 'After Gun Control Marches, ‘It’ll Go Away’ vs. ‘We Are Not Cynical Yet’', 'Hollywood’s Ambassador, Schooled in Diplomacy and the Muppets', 'Gothic or Helvetica? For Brands, Fonts Help Tell a Story', 'George Wallace Tapped Into Racial Fear. Decades Later, Its Force Remains Potent.', 'As Facebook Struggles, Rivals’ Leaders Stay (Mostly) Mum', '20 Full Rides to Top Colleges: A Texas Student’s Perfect Sweep']"
61,4/2/2018,"['Family’s Fatal Plunge Off Cliff May Have Been Intentional, Authorities Say', 'The Triumphs and Trials of Memphis', 'Stephen Reinhardt, Liberal Lion of Federal Court, Dies at 87', 'A Black Evangelist Who Opposed Dr. King', 'Markets That Climbed the Trump Bump Are Tumbling Down From It', 'Checking Your Browser Version', 'Elizabeth Esty, Saying She Mishandled Abuse Claim, Won’t Defend House Seat', '‘I’m Glad That I’m Equal’: Six Students on Dr. King’s Legacy', 'Elon Musk Makes Light of Tesla’s Troubles in April Fool’s Tweets', 'China Slaps Tariffs on 128 U.S. Products, Including Wine, Pork and Pipes', 'New York Envisions a State-Run Retirement Plan for Private Workers', '50 Years After Dr. King’s Death, Remembering the Women Who Steered the Movement', 'Trump Slump? Tech, Trade Drag Down Stocks: DealBook Briefing', 'Teachers in Oklahoma and Kentucky Walk Out: ‘It Really Is a Wildfire’', 'Mick Mulvaney, Consumer Bureau’s Chief, Urges Congress to Cripple Agency', 'Where Companies Welcome Refugees, the More, the Better', 'California Today: Remembering the Legacy of a Liberal Judge', 'Sinclair Made Dozens of Local News Anchors Recite the Same Script', 'Sinclair Videos Renew Debate Over Media Ownership', '“I’ve Been to the Mountaintop,” Dr. King’s Last Sermon Annotated']"
62,4/3/2018,"['A Big Reason Wall Street Is Flocking to Spotify: DealBook Briefing', 'Morgan Stanley Fires Broker With History of Abuse Claims', 'California Today: Is This the End of Youth Football?', 'Grindr Sets Off Privacy Firestorm After Sharing Users’ H.I.V.-Status Data', 'U.S. Stocks Rebound Slightly After Tech-Driven Slump', 'To Trump, It’s the ‘Amazon Washington Post.’ To Its Editor, That’s Baloney.', '2 Founders of $32 Million Centra Virtual Currency Project Are Arrested', 'As Trump Leads a ‘War’ on California, Who Will Lead California?', 'Teacher Walkouts: What to Know and What to Expect', 'Jeweler to the Stars Flees as India Seethes Over Bank Fraud', 'Recent Commercial Real Estate Transactions', 'Apple Hires Google’s A.I. Chief', 'The Day King Was Shot: 26 Times Articles That Told the Story', 'Spotify’s Wall Street Debut Is a Success', 'Stormy Daniels Case Should Be Resolved Privately, Trump’s Lawyers Say', 'Connie Lawn, Independent White House Reporter, Dies at 73', 'Facebook Should Consider a ‘Why Me?’ Button', 'Police Identify Woman Who Wounded 3 at YouTube and Killed Herself; Motive Is Unclear', 'The Last Year of Martin Luther King Jr.’s Life, According to The Times', 'In Texas, Ted Cruz Is Facing an Unusual Challenge: A Formidably Financed Democrat', 'For Tesla, ‘Production Hell’ Looks Like the Reality of the Car Business', 'Inside a Private Prison: Blood, Suicide and Poorly Paid Guards', 'Cleaning Out Addresses in Mail App', 'Spotify Is Greeted by Wall Street With a Swiss Flag, Even Though It’s From Sweden', 'Building a Connected City From the Ground Up', 'Looming China Trade Action Divides Industry and Roils Markets', 'China Finds California Wine Pairs Well With a Trade War', 'Disney Offers to Buy Sky News to Aid Rupert Murdoch’s Bid for Sky', 'New York Fed Names John Williams President, Bucking Calls for Diversity', 'Where Today’s Black Church Leaders Stand on Activism', 'Charitable Giving by Corporations Is Also About Getting, a New Study Finds', 'Cities and States Mount Court Challenge to Census Question on Citizenship', 'White House Unveils Tariffs on 1,300 Chinese Products', 'How M.L.K.’s Death Helped Lead to Gun Control in the U.S.', 'Why Elizabeth Warren’s Effort to Hold Bank Executives Accountable May Fall Short', 'Martin Luther King Jr.: 50 Years Later, His Battles Live On']"
63,4/4/2018,"['Liberal Judge Wins Wisconsin Supreme Court Seat, Buoying Democrats', 'Trump Is ‘Saving Us’: Minnesota Mining Country Warms to Tariffs and G.O.P.', 'Massive United States-Saudi Infrastructure Fund Struggles to Get Going', 'China Strikes Back at the U.S. With Plans for Its Own Tariffs', 'Twitter, Facebook, Slack: Using Every Tool to Hear What Readers Think', '‘It Has to Be Perfect’: Putting Out a Yearbook After the Parkland Shooting', 'Memphis Rally Embodies Dr. King’s Activist Spirit', 'California Today: Caught in the Cross Hairs, Farmers Brace for a Trade War', 'Sinclair’s Boss Responds to Criticism: ‘You Can’t Be Serious!’', 'As Trade Tensions Rise, Here Are Some Lessons From Brexit: DealBook Briefing', 'John Kasich Is Back in New Hampshire. It’s Not for the Foliage.', 'The Latest on the U.S.-China Trade Conflict: Exchanging Tariffs', 'Setting Options for Ad Blockers', 'Sleeping in Car and Visiting Gun Range: How YouTube Attacker Spent Final Hours', 'Cyberattack Shows Vulnerability of Gas Pipeline Network', 'Unknown Tech Brands Aren’t Like Groceries. Don’t Just Grab Them.', 'Britain Aims to Close Gender Pay Gap With Transparency and Shame', 'When Robert F. Kennedy Told an Indianapolis Crowd of King’s Assassination', 'Facebook Says Cambridge Analytica Harvested Data of Up to 87 Million Users', 'Asian-Americans Suing Harvard Say Admissions Files Show Discrimination', '‘Vegan Bodybuilder’: How YouTube Attacker, Nasim Aghdam, Went Viral in Iran', 'Stocks Rise on Wall Street Even as Trade Fight Between U.S. and China Grows', 'As Spotify Goes Public, Sony Cashes In', '‘Roseanne’ Mania Cools Slightly in Show’s Second Week', 'Facebook Removes More Accounts Tied to Russian ‘Troll Factory’', 'White House Tries to Tamp Down Trade War Fears as China Retaliates', 'How Bill O’Reilly Silenced His Accusers', 'Is Amazon Bad for the Postal Service? Or Its Savior?']"
64,4/5/2018,"['The Paris Review Names a New Editor: Emily Nemens of The Southern Review', 'Jamie Dimon’s Letter — Handicapping a Run for President in 2020: DealBook Briefing', 'With Tesla in a Danger Zone, Can Model 3 Carry It to Safety?', 'YouTube Attacker’s Complaints Echoed Fight Over Ad Dollars', 'White House Tries to Pull Nafta Back From Brink as Deadlines Loom', 'Body of Missing C.D.C. Employee Found in Atlanta River', 'Why BlackRock’s Move to Disarm Some Funds Is Good Business', 'Trump v. California: The Biggest Legal Clashes', 'Monitoring the Health of a Backup Drive', 'Groups in Myanmar Fire Back at Zuckerberg', 'Robert Haas, Wine Importer and California Vintner, Dies at 90', 'YouTube Shooting Puts a Focus on Workplace Security', 'Consumer Bureau’s Chief Gives Big Raises, Even as He Criticizes Spending', 'In Sparing Consumers Tariff Burden, Trump Hit Manufacturing', 'The Atlantic Cuts Ties With Conservative Writer Kevin Williamson', 'California Today: Gavin Newsom on a ‘Code Red’ for Housing Affordability', 'Trump Doubles Down on Potential Trade War With China', 'Target Agrees to Review Screening of Job Applicants Amid Claims of Bias', 'McLaren’s Formula One History Drives It on the Streets', 'The ISIS Way: Extreme Brutality and Detailed Record-Keeping', 'All the Threats and Tariffs in the U.S.-China Trade Conflict', 'The ISIS Files: When Terrorists Run City Hall']"
65,4/6/2018,"['A $350 Million Fund Helps Many Public Servants. Meet the Ones Left Out.', 'Markets Tumble Again as U.S.-China Trade Tensions Continue to Rise', 'Kenya Barris, Creator of ‘Black-ish,’ Is Said to Seek an Exit From ABC', 'U.S. and China Play Chicken on Trade, and Neither Swerves', 'California Today: Villaraigosa on Not Backing Impeachment (Yet)', 'Beyond Soccer Moms: Relocating for a Child’s Sport', 'Bernie Sanders Courts Black Voters Anew. But an Obama Reference Stings.', 'Trump Floats Possible Citizenship to Holders of H-1B Visas: What Are They?', 'Daniel Akaka, Former Democratic Senator From Hawaii, Dies at 93', 'Narcan Stops Opioid Overdoses. How Do You Use It?', 'Trump’s Plan to Deploy the National Guard Puzzles Many at the Border', 'Tainted Synthetic Marijuana Has Been Sickening People Across the Midwest', 'Thousands of Indian Women Find Their American Dreams in Jeopardy', 'Trump to Skip Correspondents’ Dinner. But Talk Radio? He’s In.', 'Pompeo and Bolton Appointments Raise Alarm Over Ties to Anti-Islam Groups', 'Facebook to Require Verified Identities for Future Political Ads', 'Bright Lights, Big Shoulder Pads: A Timid Japan Recalls Its Bubble Era', 'A Trade War Will Test Corporate America’s Openness: DealBook Briefing', 'Pacino as Paterno, and Who Is That Producer? Anthony Scaramucci', 'China Isn’t Happy About Its Newest Internet Stars: Teenage Moms', 'U.S. Job Growth Eased in March; Unemployment Steady at 4.1%', 'Higher Property Taxes? You May Be Able to Appeal', 'Moving Your E-Book Collection to One Device', 'Kevin’s Week in Tech: Extra! Extra! News Beyond Facebook!', 'Democrats’ Best Recruitment Tool? President Trump']"
66,4/7/2018,"['They Did 30 Years for Someone Else’s Crime. Then Paid for It.', 'More Jobs, Faster Growth and Now, the Threat of a Trade War', 'Virginia Is Close to Expanding Medicaid After Years of Republican Opposition', 'Texas Begins Sending National Guard Troops to Mexican Border']"
67,4/8/2018,"['Denver Post Rebels Against Its Hedge-Fund Ownership', 'New Long-Term Economic Forecast and Facebook Founder Testimony', 'Florida’s Governor, Eyeing Senate Run, Offers Hope to an Unsteady G.O.P.', 'Republicans Seize on Impeachment for Edge in 2018 Midterms', 'Deutsche Bank Replaces C.E.O. Amid Losses and Lack of Direction', 'Facebook’s Other Critics: Its Viral Stars', 'Zuckerberg Gets a Crash Course in Charm. Will Congress Care?', 'A Tough Task for Facebook: European-Type Privacy for All', 'Credit Card Signatures Are About to Become Extinct in the U.S.', 'Michigan Will No Longer Provide Free Bottled Water to Flint', 'Nordstrom Opening a New York Store as Other Retailers Close Theirs']"
68,4/9/2018,"['California Today: Saudi Prince Tours Los Angeles and San Francisco', 'Dodging Fake Fraud Alerts ', 'Mark Zuckerberg Meets With Top Lawmakers Before Hearings', 'Body Found Off California Coast May Be Teenager From S.U.V. Plunge', 'Uber to Buy Jump, Maker of Electric Bicycles, After Bike-Sharing Test', 'Zuckerberg Was Called Out Over Myanmar Violence. Here’s His Apology.', 'Rick Scott Senate Run Returns Florida to Battleground', 'Tony Robbins Apologizes for Saying Women Use #MeToo to Gain ‘Significance’', 'YouTube Is Improperly Collecting Children’s Data, Consumer Groups Say', 'Europe Caught in the Middle as Trump Threatens China', 'Russian Markets Reel After U.S. Imposes New Sanctions', 'Review: ‘Empire of Guns’ Challenges the Role of War in Industrialization', 'Taking Trips That Mean Something', 'Year of the Woman? In Arizona, It’s Women, Plural, and It’s Both Parties', 'Federal Deficit to Surpass $1 Trillion in 2020: DealBook Briefing']"
69,4/10/2018,"['6 Killed in Plane Crash at Arizona Golf Course', 'California Today: How Do California Eviction Rates Compare to the Rest of the U.S.?', 'European Authorities Raid Offices of 21st Century Fox Unit', 'Recent Commercial Real Estate Transactions', 'Facebook Still Faces Questions About Russia’s Reach', 'Xi Jinping Urges Dialogue, Not Confrontation, After Trump Seeks Tariffs', 'St. Louis Commentator Loses TV and Radio Shows After Threatening David Hogg', '‘How Long Can We Last?’ Trump’s Tariffs Hit Home in the U.S.', 'Failed by Facebook, We’ll Return to the Scene of the Crime. We Always Do.', 'Closing Facebook Comment Windows', 'Fact Check: What Mark Zuckerberg Said About Facebook, Privacy and Russia', 'Facebook Removes Popular Black Lives Matter Page for Being a Fake', 'Three Takeaways from Mark Zuckerberg’s Senate Testimony: DealBook Briefing', 'Volkswagen Set to Oust Matthias Müller as C.E.O. After Diesel Scandal', 'How Mark Zuckerberg Can ‘Win’ on Capitol Hill', 'Farmers Hit the Road to Reach Shoppers Before Amazon Does', 'How Developers Discovered Tampa’s ‘Best-Kept Secret’', 'Facebook Data Collected by Quiz App Included Private Messages', 'James Toback Won’t Face Sex Crime Charges in Los Angeles', 'Escapes, Riots and Beatings. But States Can’t Seem to Ditch Private Prisons.', 'Bank of America to Stop Financing Makers of Military-Style Guns']"
70,4/11/2018,"['A Simple Proposal to Help Fix Corporate America’s Cybersecurity Problem', 'Blackface Leads to Fraternity Suspension at Cal Poly in San Luis Obispo', 'Facebook Is Complicated. That Shouldn’t Stop Lawmakers.', 'I Downloaded the Information That Facebook Has on Me. Yikes.', 'What to Do if Your Email Is Hacked', 'Zuckerberg Faces Hostile Congress as Calls for Regulation Mount', 'Trump Signs Bill Amid Momentum to Crack Down on Trafficking', 'Teachers Get Baseball Bats to Confront Shooters in Pennsylvania District', 'It Built an Empire of GIFs, Buzzy News and Jokes. China Isn’t Amused.', 'Paul Ryan’s Hometown Takes Stock as Speaker (and Neighbor) Changes Course', 'Mark Zuckerberg Has a Lot of Homework to Do ', 'How to Stay on Top of Breaking News', 'U.S. Seeks Quick Nafta Deal, but Allies Balk as It Gives Little Ground', 'Paul Ryan Upends Republican Hopes and Plans for Midterm Elections', 'Xi Jinping Promotes Openness at a China Forum Rife With Restrictions', 'California Today: A Big Boost for Jerry Brown’s Elusive Water Project', 'Highlights From Zuckerberg’s Day 2 Testimony: DealBook Briefing', 'Breaking Into the Boom in Escape Rooms: What Entrepreneurs Need to Know', 'On the Border With the National Guard: An ‘Extra Pair of Eyes and Ears’', 'Sex Claims Against Gov. Eric Greitens of Missouri Vividly Detailed in Report', '$6.4 Million Judgment in Revenge Porn Case Is Among Largest Ever', 'What You Don’t Know About How Facebook Uses Your Data', 'A New Challenger to Equifax’s Employee Verification Service', 'Economists Say U.S. Tariffs Are Wrong Move on a Valid Issue', 'In Red-State Races, Democrats Seek an Edge by Defying the N.R.A.', 'Kidnapped as Schoolgirls by Boko Haram: Here They Are Now', 'The U.S. Has Troops in Syria. So Do the Russians and Iranians. Here’s Where.', 'Hyesan, North Korea']"
71,4/12/2018,"['California Today: Could the State Weather a Recession?', '2 Days, 10 Hours, 600 Questions: What Happened When Mark Zuckerberg Went to Washington', 'Rent Control Campaign in California Is Taken to the Streets', 'Paul Ryan Is Leaving. Who’s Running for His Seat?', 'Horns Honk, and Censors in China Get a Headache', 'Professionals Make Car Buying Easy, but You Have to Shop Around', 'Want to Sell Fighter Jets to India? Make Them There', 'Teacher Walkouts Threaten Republican Grip on Conservative States', 'Colorado Group Pushes to Buy Embattled Denver Post From New York Hedge Fund', 'Senators Had a Lot to Say About Facebook. That Hasn’t Stopped Them From Using It.', 'After Cambridge Analytica, Privacy Experts Get to Say ‘I Told You So’', 'Volkswagen’s New C.E.O. Is an Outsider. That’s an Asset, and a Liability.', 'Man Accused of Raping Michigan Teenager Is Now Charged With Killing Her', 'Editing RAW Images on an iPad', 'Hurricane Names That ‘Don’t Bear Repeating’: Harvey, Irma, Maria and Nate', 'Trump Proposes Rejoining Trans-Pacific Partnership', 'Will Bank Earnings Flash Any Warnings?: DealBook Briefing', 'Billionaire vs. Billionaire: A Tug of War Between 2 Rogue Donors']"
72,4/13/2018,"['Trump Weighs Return to Trans-Pacific Partnership. Not So Fast, Say Members.', 'China’s Communists Rewrite the Rules for Foreign Businesses', 'Justice Dept. Can’t Tie Police Funding to Help on Immigration, Judge Rules', 'California Today: A Photographer Tracks the Rise of Skateboarding', 'Bank Earnings Boom as Regulators Relax Rules', 'Facebook Takes the Punches While Rest of Silicon Valley Ducks', 'Backpage Chief Pleads Guilty to Conspiracy and Money Laundering', 'Kevin’s Week in Tech: Another Facebook-Free Edition', 'A Public Outcry Against a Wall Street Titan’s Name on a High School', 'The Personal Data of 346,000 People, Hung on a Museum Wall', 'The Redstones’ Voting Power Leaves Moonves and CBS Few Options: DealBook Briefing', 'When Your Fixer-Upper Is Your Hometown', 'Why We Should Be Optimistic About Retail', 'Missouri Governor Eric Greitens, His Affair, and the Chaos that Followed.', 'Trump Targets a Postal Service Rainmaker: Package Delivery', 'L.A. Times’s New Owner Plans Big Moves. First Up, Relocating to the Suburbs.', 'He Died 21 Years After Being Abused. Prosecutors Are Calling it Murder.', 'Tax Dawdlers, It’s the Last Minute. Here Are Tips on Filing.', 'Beating Those Wireless Printer Woes', 'Who Is a Public Servant? Borrowers Have a Lot Riding on the Answer', 'Parkland Gunman Was Still Firing When Police Arrived on a Gruesome Scene', 'Oklahoma Teachers End Walkout After Winning Raises and Additional Funding', 'Car Stolen in Alaska? It Could Be Your Neighbor Chasing the Thief', 'Michael Ferro Agrees to Sell All of His Shares in Tronc', '300 Meters in Gaza: Snipers, Burning Tires and a Contested Fence', 'Most Chemical Attacks in Syria Get Little Attention. Here Are 34 Confirmed Cases.']"
